system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
0,Built,0.37,49,0.0,25.84,2.35,1866.06,36.84,0.59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.263625170024735,52.43915471047707]}"
1,Built,0.35,50,0.0,25.84,2.35,1866.54,36.84,0.55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.272608322865931,52.43915471047707]}"
2,Built,0.35,47,0.0,25.84,2.35,1867.11,36.84,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.281591475707126,52.43915471047707]}"
3,Built,0.35,48,0.0,25.84,2.35,1867.12,36.84,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.29057462854832,52.43915471047707]}"
4,Built,0.35,49,0.0,26.54,1.79,1867.12,36.84,0.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.299557781389517,52.43915471047707]}"
5,Built,0.33,50,0.0,26.54,1.79,1867.45,36.84,0.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.308540934230711,52.43915471047707]}"
6,Built,0.34,45,0.0,26.54,1.79,1867.73,36.84,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.317524087071908,52.43915471047707]}"
7,Built,0.37,44,0.0,26.54,1.79,1867.92,36.84,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.326507239913102,52.43915471047707]}"
8,Built,0.32,45,0.0,26.54,1.79,1868.25,36.84,0.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.335490392754297,52.43915471047707]}"
9,Built,0.33,45,0.0,26.54,1.79,1868.5,36.84,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.344473545595493,52.43915471047707]}"
10,Built,0.31,45,0.0,26.54,1.79,1868.42,36.98,0.53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.353456698436688,52.43915471047707]}"
11,Built,0.33,45,0.0,26.54,1.79,1868.32,36.98,0.51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.362439851277882,52.43915471047707]}"
12,Built,0.24,48,0.0,26.54,1.79,1868.01,36.98,0.36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.371423004119078,52.43915471047707]}"
13,Built,0.21,50,0.0,27.05,1.4,1868.21,36.98,0.34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.380406156960273,52.43915471047707]}"
14,Built,0.29,49,0.0,27.05,1.4,1868.21,36.98,0.51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.38938930980147,52.43915471047707]}"
15,Built,0.37,49,0.0,27.05,1.4,1867.81,36.98,0.58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.398372462642664,52.43915471047707]}"
16,Built,0.37,46,0.0,27.05,1.4,1867.23,36.98,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.407355615483858,52.43915471047707]}"
17,Built,0.35,48,0.0,27.05,1.4,1867.37,36.98,0.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.416338768325055,52.43915471047707]}"
