system:index,Dynamic world LULC,EVI,Elevation in m,Gross primary productivity in kg C per square m per 16 days,Land surface temperature in °C,Leaf area index,Methane ppb,Monthly precipitation in mm,NDVI,.geo
0,Built,0.57,701,616.91,22.74,4.02,1885.22,104.39,0.81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.500932622398004,44.331859271298384]}"
1,Crops,0.56,698,573.27,22.32,3.49,1885.55,104.2,0.81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.590764150809957,44.331859271298384]}"
2,Built,0.59,665,612.36,22.64,4.23,1877.61,110.82,0.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.680595679221908,44.331859271298384]}"
3,Trees,0.57,668,644.18,22.73,3.98,1875.66,112.71,0.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.770427207633861,44.331859271298384]}"
4,Trees,0.6,693,696.73,22.15,4.4,1868.42,107.26,0.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.860258736045813,44.331859271298384]}"
5,Trees,0.59,749,699.36,21.56,4.41,1860.64,97.81,0.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.950090264457765,44.331859271298384]}"
6,Trees,0.59,633,683.36,22.72,4.3,1869.48,97.81,0.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.039921792869718,44.331859271298384]}"
7,Trees,0.63,769,713.45,21.24,4.64,1869.61,85.59,0.89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.129753321281669,44.331859271298384]}"
8,Trees,0.6,676,710.45,21.87,4.39,1880.0,73.55,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.219584849693621,44.331859271298384]}"
9,Trees,0.6,452,711.91,23.66,4.32,1880.0,65.4,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.309416378105574,44.331859271298384]}"
10,Trees,0.44,237,603.82,25.7,4.07,1880.0,62.23,0.69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.399247906517525,44.331859271298384]}"
11,Trees,0.47,298,567.27,28.99,2.18,0.0,32.07,0.71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.387394719048999,44.331859271298384]}"
12,Trees,0.43,611,588.09,28.4,2.98,0.0,32.17,0.73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.477226247460951,44.331859271298384]}"
13,Trees,0.58,581,737.45,24.54,4.03,0.0,36.81,0.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.567057775872904,44.331859271298384]}"
14,Trees,0.57,522,676.55,25.75,3.97,0.0,41.49,0.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.656889304284856,44.331859271298384]}"
15,Trees,0.57,810,632.36,24.66,4.03,0.0,41.49,0.82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.746720832696807,44.331859271298384]}"
16,Trees,0.59,702,673.73,23.51,4.34,0.0,46.4,0.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.83655236110876,44.331859271298384]}"
17,Built,0.57,312,612.36,28.65,3.79,0.0,51.62,0.79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.926383889520713,44.331859271298384]}"
18,Trees,0.62,798,668.82,24.52,4.49,0.0,56.82,0.84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.016215417932665,44.331859271298384]}"
19,Trees,0.64,1035,665.18,23.06,4.42,0.0,61.53,0.86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.106046946344616,44.331859271298384]}"
20,Grass,0.62,1299,616.18,20.92,4.35,0.0,65.28,0.84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.195878474756569,44.331859271298384]}"
21,Trees,0.66,1098,599.0,19.68,4.67,0.0,70.11,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.285710003168521,44.331859271298384]}"
22,Trees,0.62,1237,515.73,19.89,3.94,0.0,74.66,0.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.375541531580472,44.331859271298384]}"
23,Trees,0.61,848,534.91,21.67,3.84,0.0,78.82,0.82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.465373059992425,44.331859271298384]}"
24,Trees,0.6,865,524.91,23.77,3.86,0.0,82.48,0.82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.555204588404377,44.331859271298384]}"
25,Trees,0.63,775,519.0,23.31,3.91,1879.11,82.48,0.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.64503611681633,44.331859271298384]}"
26,Trees,0.56,672,500.09,25.13,3.53,1884.29,85.83,0.78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.734867645228281,44.331859271298384]}"
27,Trees,0.54,688,497.55,26.52,3.2,1889.72,87.13,0.73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.824699173640234,44.331859271298384]}"
28,Trees,0.52,481,464.55,28.14,2.96,1888.42,81.84,0.74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.914530702052186,44.331859271298384]}"
29,Crops,0.54,626,473.27,26.07,3.33,0.0,74.5,0.76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.004362230464139,44.331859271298384]}"
30,Trees,0.51,496,463.82,28.29,3.11,1868.88,66.39,0.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.09419375887609,44.331859271298384]}"
31,Trees,0.51,330,463.82,27.4,3.33,1869.07,59.19,0.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.184025287288042,44.331859271298384]}"
32,Trees,0.5,323,436.27,27.37,3.19,1876.17,55.29,0.76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.273856815699995,44.331859271298384]}"
33,Trees,0.51,390,441.18,27.24,3.13,1877.48,57.5,0.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.363688344111946,44.331859271298384]}"
34,Trees,0.49,327,456.64,29.21,2.39,1886.35,59.63,0.74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.453519872523898,44.331859271298384]}"
35,Shrub and scrub,0.42,225,406.09,30.89,2.09,1886.28,59.63,0.64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.543351400935851,44.331859271298384]}"
36,Crops,0.42,167,391.27,31.71,1.92,1884.91,60.4,0.61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.633182929347804,44.331859271298384]}"
37,Crops,0.39,73,371.0,33.69,1.85,1885.43,61.03,0.57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.723014457759755,44.331859271298384]}"
